,area,loopback,supernet,wannet
BALLARAT,55,10.100.254.41/32,10.55.0.0/16,10.100.55.0/29
BENDIGO,56,10.100.254.49/32,10.56.0.0/16,10.100.56.0/29
SALE,63,10.100.254.105/32,10.63.0.0/16,10.100.63.0/29
SEYMOUR,65,10.100.254.121/32,10.65.0.0/16,10.100.65.0/29
WARRNAMBOOL,66,10.100.254.129/32,10.66.0.0/16,10.100.66.0/29
ECHUCA,67,10.100.254.137/32,10.67.0.0/16,10.100.67.0/29
KILMORE,68,10.100.254.145/32,10.68.0.0/16,10.100.68.0/29
KYNETON,69,10.100.254.153/32,10.69.0.0/16,10.100.69.0/29
MILDURA,70,10.100.254.161/32,10.70.0.0/16,10.100.70.0/29
MOE,71,10.100.254.169/32,10.71.0.0/16,10.100.71.0/29
SWAN HILL,72,10.100.254.177/32,10.72.0.0/16,10.100.72.0/29
WANGARATTA,73,10.100.254.185/32,10.73.0.0/16,10.100.73.0/29
BENALLA,75,10.100.254.201/32,10.75.0.0/16,10.100.75.0/29
HAMILTON,76,10.100.254.209/32,10.76.0.0/16,10.100.76.0/29
